"sample_time","facility","species","adipose_clip","lad_race","dna_race","cwt_race","cwt_tagcode","cwt_hatch","cwt_release_type","cwt_release_start","cwt_release_end","cwt_release_span_days","cwt_release_location","cwt_release_information_source","days_from_release_end_to_sample_time","count_duration_minutes","pumping_duration_minutes","sample_fraction","study_type","length","nfish","expanded_salvage","loss","dna_sample_id","genetic_probability","length_row_id","x14_day_omri"
"2009-02-28 23:59:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,60,0.5,"Normal count",110,1,2,8.56,NA,NA,570109,NA
"2009-02-28 23:59:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,60,0.5,"Normal count",120,1,2,8.56,NA,NA,1002296,NA
"2009-03-01 04:00:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",125,1,4,2.88,NA,NA,812700,NA
"2009-03-01 06:00:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",129,1,4,2.88,NA,NA,695602,NA
"2009-03-01 16:00:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",142,1,4,2.88,NA,NA,728749,NA
"2009-03-01 23:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,60,0.5,"Normal count",128,1,2,8.56,NA,NA,310005,NA
"2009-03-01 23:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,60,0.5,"Normal count",129,1,2,8.56,NA,NA,1128904,NA
"2009-03-02 04:00:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",120,1,4,2.88,NA,NA,72371,NA
"2009-03-02 06:00:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",150,1,4,2.88,NA,NA,396318,NA
"2009-03-02 07:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,60,0.5,"Normal count",129,1,2,9.04,NA,NA,1061718,NA
"2009-03-02 08:00:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",123,1,4,2.88,NA,NA,501401,NA
"2009-03-02 15:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",132,1,4,18.1,NA,NA,945648,NA
"2009-03-03 03:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",108,1,4,17.11,NA,NA,429308,NA
"2009-03-03 06:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,60,0.5,"Normal count",115,1,2,8.54,NA,NA,116039,NA
"2009-03-03 11:00:00","SWP","Chinook Salmon","Clipped","Winter",NA,"LateFall","054295","CNFH","Production & Experimental",2009-01-23,2009-01-23,1,"COLEMAN NFH","RMIS",39,30,120,0.25,"Normal count",163,1,4,18.05,NA,NA,587823,NA
"2009-03-03 13:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",108,1,4,18.1,NA,NA,1167779,NA
"2009-03-03 13:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",120,2,8,36.19,NA,NA,570789,NA
"2009-03-03 13:00:00","SWP","Chinook Salmon","Clipped","Winter",NA,"LateFall","053991","CNFH","Production",2009-01-06,2009-01-06,1,"COLEMAN NFH","RMIS",56,30,120,0.25,"Normal count",146,1,4,18.1,NA,NA,354085,NA
"2009-03-03 20:00:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",125,2,8,6.37,NA,NA,314005,NA
"2009-03-03 20:00:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",176,1,4,3.19,NA,NA,948378,NA
"2009-03-03 23:59:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",111,1,4,3.19,NA,NA,180135,NA
"2009-03-03 23:59:00","CVP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",130,1,4,3.19,NA,NA,580812,NA
"2009-03-04 06:00:00","CVP","Chinook Salmon","Clipped","Winter",NA,"Winter","053474","LSNFH","Production",2009-01-29,2009-01-29,1,"SAC R LAKE REDDING PARK","RMIS",34,30,120,0.25,"Normal count",111,1,4,3.19,NA,NA,117432,NA
"2009-03-04 09:00:00","SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,120,0.25,"Normal count",98,1,4,17.03,NA,NA,288213,NA
