Sample Time, Facility, Species, Adipose Clip, LAD Race, DNA Race, CWT Race, CWT tagcode, CWT Hatch, CWT Release Type, CWT Release Start, CWT Release End, CWT Release Span Days, CWT Release Location, CWT Release Information Source, Days from Release End to Sample Time, Count Duration (minutes), Pumping Duration (minutes), Sample Fraction, Study Type, Length, nfish, Expanded Salvage, Loss, DNA Sample ID, Genetic Probability, Length Row ID,14-day OMRI
1/19/1993 13:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052862,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,15,10,120,0.08,Normal count,162,1,12,51.3,,,479399,
1/19/1993 15:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,15,10,120,0.08,Normal count,179,1,12,51.23,,,800024,
1/19/1993 19:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,15,5,120,0.04,Normal count,150,1,24,102.6,,,858215,
1/19/1993 23:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052859,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,15,5,120,0.04,Normal count,137,1,24,101.57,,,79864,
1/20/1993 7:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,16,5,120,0.04,Normal count,168,1,24,100.19,,,569375,
1/20/1993 16:00,CVP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,162,1,24,12.91,,,523977,
1/20/1993 17:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,16,5,120,0.04,Normal count,134,1,24,100.97,,,996640,
1/20/1993 17:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,16,5,120,0.04,Normal count,172,1,24,100.97,,,712750,
1/20/1993 19:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,153,1,24,101.42,,,947500,
1/20/1993 23:00,SWP,Chinook Salmon,Unclipped,LateFall,,,,,,,,,,,,5,240,0.02,Normal count,183,1,48,201.32,,,342545,
1/21/1993 5:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,119,1,12,49.86,,,361366,
1/22/1993 1:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,18,5,120,0.04,Normal count,171,1,24,100.03,,,152497,
1/22/1993 10:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,5,120,0.04,Normal count,153,1,24,104.58,,,683846,
1/22/1993 15:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,18,10,300,0.03,Normal count,176,1,30,128.23,,,1096969,
1/22/1993 17:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,18,10,120,0.08,Normal count,125,1,12,51.29,,,81147,
1/22/1993 23:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,18,10,60,0.17,Normal count,139,1,6,25.2,,,1914996,
1/22/1993 23:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,60,0.17,Normal count,153,1,6,25.2,,,1914997,
1/23/1993 1:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052859,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,19,5,120,0.04,Normal count,143,1,24,99.71,,,176018,
1/23/1993 11:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052862,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,19,10,120,0.08,Normal count,153,1,12,50.99,,,94855,
1/23/1993 13:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,19,10,120,0.08,Normal count,143,1,12,51.14,,,398042,
1/24/1993 5:00,SWP,Chinook Salmon,Clipped,Winter,,Fall,066340,MOK,Production & Experimental,10/27/1992,10/28/1992,2,MOK R FISH INS,RMIS,88,5,120,0.04,Normal count,162,1,24,99.38,,,117661,
1/26/1993 7:00,SWP,Chinook Salmon,Clipped,Winter,,Fall,066340,MOK,Production & Experimental,10/27/1992,10/28/1992,2,MOK R FISH INS,RMIS,90,10,60,0.17,Normal count,165,1,6,26.53,,,236990,
1/26/1993 7:00,SWP,Chinook Salmon,Clipped,Winter,,Fall,066340,MOK,Production & Experimental,10/27/1992,10/28/1992,2,MOK R FISH INS,RMIS,90,10,60,0.17,Normal count,175,1,6,26.53,,,165734,
1/26/1993 13:00,SWP,Chinook Salmon,Unclipped,Fall,,,,,,,,,,,,15,120,0.12,Normal count,38,1,8,33.92,,,1106314,
1/26/1993 20:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,300,0.03,Normal count,154,1,30,134.25,,,469670,
1/26/1993 20:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,22,10,300,0.03,Normal count,190,1,30,134.25,,,1092533,
1/26/1993 23:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,5,60,0.08,Normal count,148,1,12,50.41,,,1105519,
1/27/1993 19:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,23,10,60,0.17,Normal count,144,1,6,25.2,,,80020,
1/28/1993 13:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,24,20,120,0.17,Normal count,167,1,6,26.95,,,744368,
1/28/1993 19:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053122,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,24,15,120,0.12,Normal count,188,1,8,35.62,,,1029469,
1/28/1993 22:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,10,180,0.06,Normal count,159,1,18,80.35,,,750367,
1/29/1993 11:00,SWP,Chinook Salmon,Unclipped,Fall,,,,,,,,,,,,20,120,0.17,Normal count,32,1,6,25.21,,,419347,
1/29/1993 21:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,163,1,12,50.84,,,1010482,
1/29/1993 21:00,SWP,Chinook Salmon,Clipped,Winter,,Fall,066340,MOK,Production & Experimental,10/27/1992,10/28/1992,2,MOK R FISH INS,RMIS,93,10,120,0.08,Normal count,173,1,12,50.84,,,1008182,
1/30/1993 3:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,149,1,12,50.26,,,137801,
1/30/1993 13:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,052859,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,26,30,120,0.25,Normal count,180,1,4,18.19,,,772083,
1/30/1993 17:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,120,0.08,Normal count,112,1,12,54.63,,,354310,
1/30/1993 22:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,180,0.06,Normal count,160,1,18,81.15,,,500253,
1/30/1993 23:00,SWP,Chinook Salmon,Clipped,Winter,,LateFall,053121,CNFH,Experimental,1/4/1993,1/4/1993,1,COLEMAN NFH,RMIS,26,10,60,0.17,Normal count,138,1,6,24.97,,,358077,
1/31/1993 6:00,SWP,Chinook Salmon,Unclipped,Winter,,,,,,,,,,,,10,180,0.06,Normal count,137,1,18,75.14,,,230528,
1/31/1993 13:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,30,120,0.25,Normal count,159,1,4,18.28,,,172304,
1/31/1993 22:00,SWP,Chinook Salmon,Clipped,Winter,,,,,,,,,,,,10,180,0.06,Normal count,138,1,18,76.65,,,295472,
2/1/1993 3:00,SWP,Chinook Salmon,Unclipped,Fall,,,,,,,,,,,,10,180,0.06,Normal count,36,1,18,71.62,,,55166,
